City,PopHomeless_2010,PopHomeless_2011,PopHomeless_2012,PopHomeless_2013,PopHomeless_2014,PopHomeless_2015,PopHomeless_2016,Latitude,Longitude
Austin,2087,1358,2244,2090,1987,1832,2138,30.267142,-97.735591
Chicago,8383,9436,10013,8879,8506,8742,8669,41.874307,-87.622328
Dallas,3710,3297,3447,3163,3514,3141,3810,32.782258,-96.800045
Houston,6368,8471,7187,6359,5308,4609,4031,29.770702,-95.382236
Indianapolis,1454,1587,1647,1599,1890,1666,1619,39.768891,-86.161626
Jacksonville,2442,3025,2861,2768,2049,1853,1959,30.330467,-81.666944
Los Angeles,33243,34622,31553,35524,34393,41174,43854,34.053182,-118.266204
New York,53187,51123,56672,51123,67810,75323,73523,40.714678,-73.989026
Philadelphia,6084,5780,5780,5645,5738,5998,6112,39.952051,-75.166107
San Antonio,3291,2046,3670,2980,2892,2891,2781,29.427325,-98.497968
San Diego,8383,9436,10013,8879,8506,8742,8669,32.715694,-117.143269
San Francisco,5823,5669,5895,7008,6408,6775,6996,37.776948,-122.414600
Seattle,9022,8972,8899,9106,8949,10122,10730,47.606893,-122.322181
Washington DC,6228,6546,6954,6865,7748,7298,8350,38.907280,-77.026249